id;data_celebracao;data_primeiro_emprestimo;data_ultimo_pagamento;valor_financiado;finalidade_emprestimo;parcelas;taxa_juros;valor_parcela;tempo_relacionamento;escore_fico;inadimplencia_2_anos;registros_publicos_negativos;renda_mensal;compm_renda;default;T
1069243;2011-12-01;2006-10-01;2012-08-01;12000.0;compra de veiculo;36;0.1596;421.65;62;677;0;0;4166.67;0.1012;1;8
1069238;2011-12-01;2000-05-01;2014-07-01;12000.0;cartao de credito;36;0.0991;386.7;139;732;0;0;3833.33;0.1009;0;31
1069410;2011-12-01;1998-09-01;2014-10-01;21000.0;pagamento de dividas;60;0.1991;555.33;159;682;0;0;4166.67;0.1333;1;34
1068409;2011-12-01;1998-12-01;2013-10-01;16000.0;cartao de credito;60;0.1991;423.11;156;667;0;0;6750.0;0.0627;0;22
1068487;2011-12-01;2004-12-01;2013-07-01;10000.0;pagamento de dividas;36;0.1242;334.16;84;687;0;0;3250.0;0.1028;0;19
1043961;2011-12-01;2000-10-01;2012-08-01;10000.0;cartao de credito;36;0.1065;325.74;134;717;0;0;4283.33;0.076;0;8
1068945;2011-12-01;2007-04-01;2015-01-01;7100.0;pagamento de dividas;36;0.1677;252.33;56;682;0;0;2750.0;0.0918;0;37
1069142;2011-12-01;2002-05-01;2016-01-01;13000.0;pagamento de dividas;60;0.1269;293.74;115;732;0;0;2500.0;0.1175;0;49
1068934;2011-12-01;2006-05-01;2016-02-01;8950.0;pequeno negocio;60;0.1727;223.74;67;707;0;0;3333.33;0.0671;0;50
1069136;2011-12-01;2002-07-01;2013-08-01;17675.0;pagamento de dividas;60;0.1465;417.25;113;722;0;0;4166.67;0.1001;0;20
1068923;2011-12-01;2006-07-01;2014-12-01;8000.0;pagamento de dividas;36;0.1677;284.31;65;662;0;0;5166.67;0.055;0;36
1069126;2011-12-01;1997-05-01;2015-04-01;10000.0;pagamento de dividas;60;0.1065;215.69;175;757;0;0;3833.0;0.0563;1;40
1069102;2011-12-01;2005-10-01;2015-01-01;3500.0;pagamento de dividas;36;0.1065;114.01;74;702;0;0;4583.33;0.0249;0;37
1069093;2011-12-01;1995-04-01;2014-02-01;8925.0;pagamento de dividas;60;0.1727;223.11;200;692;0;1;2500.0;0.0892;1;26
1069030;2011-12-01;2002-10-01;2012-11-01;16425.0;pagamento de dividas;36;0.1427;563.53;110;697;0;0;3712.0;0.1518;0;11
1068906;2011-12-01;2000-01-01;2013-06-01;8200.0;pequeno negocio;60;0.2128;223.14;143;677;0;0;6250.0;0.0357;1;18
1069073;2011-12-01;2004-06-01;2014-09-01;15000.0;cartao de credito;36;0.1465;517.42;90;687;0;0;5083.33;0.1018;0;33
1069043;2011-12-01;2000-04-01;2014-04-01;13575.0;cartao de credito;60;0.1758;341.63;140;687;0;1;3666.67;0.0932;0;28
1060981;2011-12-01;1994-12-01;2013-10-01;6400.0;pagamento de dividas;36;0.1677;227.45;204;662;0;0;6250.0;0.0364;1;22
1069071;2011-12-01;2005-10-01;2012-09-01;3000.0;pagamento de dividas;36;0.1349;101.8;74;672;0;0;2800.0;0.0364;0;9
1069070;2011-12-01;2005-09-01;2015-01-01;12000.0;cartao de credito;36;0.1677;426.47;75;677;0;0;4166.67;0.1024;0;37
1068893;2011-12-01;1994-12-01;2015-01-01;14400.0;pagamento de dividas;36;0.089;457.25;204;722;0;0;12500.0;0.0366;0;37
1068882;2011-12-01;1984-12-01;2012-06-01;12000.0;pagamento de dividas;36;0.1465;413.94;324;677;0;0;7500.0;0.0552;0;6
1069039;2011-12-01;1999-12-01;2014-10-01;11000.0;pagamento de dividas;36;0.1349;373.24;144;692;0;0;4000.0;0.0933;0;34
1068416;2011-12-01;2000-05-01;2012-09-01;7200.0;pagamento de dividas;60;0.2167;197.51;139;682;0;1;6250.0;0.0316;0;9
1068997;2011-12-01;2003-11-01;2012-08-01;15000.0;pequeno negocio;36;0.079;469.36;97;767;0;0;4333.33;0.1083;0;8
1048390;2011-12-01;1989-06-01;2014-10-01;18000.0;pagamento de dividas;60;0.1991;475.99;270;662;0;0;5416.67;0.0879;0;34
1068994;2011-12-01;2003-06-01;2014-02-01;22075.0;reforma residencial;60;0.1727;551.84;102;727;0;0;12500.0;0.0441;0;26
1068475;2011-12-01;2006-07-01;2012-07-01;10000.0;cartao de credito;36;0.1427;343.09;65;682;0;0;5666.67;0.0605;0;7
1068989;2011-12-01;1996-10-01;2015-01-01;11800.0;cartao de credito;36;0.1269;395.83;182;692;0;0;3500.0;0.1131;0;37
1068967;2011-12-01;2000-10-01;2015-01-01;4500.0;compra grande valor;36;0.0603;136.96;134;762;0;0;4416.67;0.031;0;37
1068744;2011-12-01;2000-05-01;2015-01-01;7000.0;cartao de credito;36;0.1269;234.82;139;682;0;0;2916.67;0.0805;0;37
1045509;2011-12-01;2002-10-01;2013-07-01;9200.0;pagamento de dividas;36;0.1242;307.43;110;702;0;0;5000.0;0.0615;0;19
1063958;2011-12-01;2005-07-01;2017-01-01;14000.0;outros;60;0.1727;349.98;77;702;0;0;2333.33;0.15;0;61
1041756;2011-12-01;1983-02-01;2012-12-01;4500.0;compra de veiculo;60;0.1065;97.06;346;752;0;0;3500.0;0.0277;0;12
1068694;2011-12-01;1996-10-01;2013-11-01;12000.0;pagamento de dividas;36;0.1629;423.61;182;682;0;0;7363.75;0.0575;0;23
1068792;2011-12-01;2003-05-01;2014-04-01;12000.0;pagamento de dividas;36;0.1349;407.17;103;687;0;0;6000.0;0.0679;0;28
1068558;2011-12-01;2002-06-01;2012-09-01;12000.0;cartao de credito;36;0.1065;390.88;114;702;0;0;5166.67;0.0757;0;9
1068322;2011-12-01;2000-10-01;2013-02-01;7000.0;cartao de credito;36;0.1065;228.02;134;687;0;0;3640.0;0.0626;0;14
1065674;2011-12-01;2007-06-01;2014-12-01;8200.0;pagamento de dividas;60;0.1942;214.62;54;687;0;0;10000.0;0.0215;0;36
1068547;2011-12-01;1998-09-01;2012-10-01;10500.0;despesas medicas;36;0.1269;352.23;159;697;1;0;5500.0;0.064;0;10
1068545;2011-12-01;1996-12-01;2013-06-01;7000.0;pagamento de dividas;36;0.1171;231.54;180;677;0;1;3260.0;0.071;0;18
1068575;2011-12-01;1984-02-01;2017-01-01;15300.0;cartao de credito;60;0.2206;423.1;334;672;0;0;7083.33;0.0597;0;61
1049528;2011-12-01;2001-11-01;2013-11-01;12800.0;pagamento de dividas;60;0.1171;282.86;121;742;0;0;3983.33;0.071;0;23
1068542;2011-12-01;2002-09-01;2013-04-01;17500.0;cartao de credito;60;0.1727;437.47;111;702;0;0;3750.0;0.1167;1;16
1068350;2011-12-01;1986-01-01;2015-01-01;3500.0;compra de veiculo;36;0.0603;106.53;311;747;0;0;6916.67;0.0154;0;37
1067874;2011-12-01;2004-11-01;2017-01-01;6000.0;compra grande valor;60;0.1269;135.57;85;697;1;0;6750.0;0.0201;0;61
1068509;2011-12-01;1998-05-01;2012-12-01;6200.0;pagamento de dividas;36;0.0991;199.8;163;712;0;0;2083.33;0.0959;1;12
1034693;2011-12-01;1996-10-01;2016-06-01;16000.0;pagamento de dividas;60;0.1758;402.65;182;697;0;0;5416.67;0.0743;0;54
1068508;2011-12-01;2005-07-01;2015-01-01;6000.0;pagamento de dividas;36;0.089;190.52;77;702;0;0;2400.0;0.0794;0;37
1066641;2011-12-01;1997-01-01;2015-01-01;7200.0;cartao de credito;36;0.0991;232.02;179;697;0;0;11250.0;0.0206;0;37
1068315;2011-12-01;2005-06-01;2013-07-01;9500.0;cartao de credito;36;0.089;301.66;78;722;0;0;4166.67;0.0724;0;19
1068309;2011-12-01;2004-12-01;2014-09-01;18825.0;pagamento de dividas;60;0.1677;465.53;84;702;0;0;3166.67;0.147;1;33
1068326;2011-12-01;1990-02-01;2015-01-01;24000.0;pagamento de dividas;36;0.1065;781.76;262;727;0;0;3750.0;0.2085;0;37
1066767;2011-12-01;2002-02-01;2015-01-01;6000.0;pagamento de dividas;36;0.1349;203.59;118;667;0;0;6666.67;0.0305;0;37
1068484;2011-12-01;2004-03-01;2015-01-01;6000.0;pagamento de dividas;36;0.1349;203.59;93;692;0;0;4166.67;0.0489;0;37
1068292;2011-12-01;1995-07-01;2014-12-01;2100.0;viagem;36;0.1242;70.18;197;692;0;0;2500.0;0.0281;0;36
1068273;2011-12-01;1994-08-01;2015-01-01;5500.0;pequeno negocio;36;0.0662;168.88;208;742;0;0;9166.67;0.0184;0;37
1068274;2011-12-01;1992-06-01;2015-01-01;11000.0;pagamento de dividas;36;0.0662;337.75;234;737;0;0;3800.67;0.0889;0;37
1068440;2011-12-01;2006-05-01;2013-03-01;26800.0;pagamento de dividas;60;0.2089;723.38;67;682;0;0;10000.0;0.0723;0;15
1046456;2011-12-01;2002-10-01;2013-03-01;8000.0;pagamento de dividas;36;0.1269;268.36;110;707;0;0;2916.67;0.092;0;15
1068012;2011-12-01;1997-03-01;2015-01-01;10000.0;cartao de credito;36;0.1825;362.78;177;667;0;0;6250.0;0.058;1;37
1055725;2011-12-01;2006-04-01;2014-05-01;8000.0;cartao de credito;36;0.1171;264.61;68;692;0;0;2916.67;0.0907;0;29
1061814;2011-12-01;2000-01-01;2013-03-01;10000.0;pagamento de dividas;36;0.089;317.54;143;712;0;0;2000.0;0.1588;0;15
1068232;2011-12-01;1990-04-01;2014-05-01;12000.0;pagamento de dividas;36;0.1171;396.92;260;697;0;0;10500.0;0.0378;0;29
1068405;2011-12-01;2003-06-01;2015-01-01;10000.0;pagamento de dividas;36;0.079;312.91;102;732;0;0;3583.33;0.0873;0;37
1068395;2011-12-01;2000-01-01;2015-01-01;12000.0;pagamento de dividas;36;0.0991;386.7;143;727;0;0;4166.67;0.0928;0;37
1068202;2011-12-01;1999-08-01;2015-03-01;25000.0;cartao de credito;60;0.1349;575.12;148;742;0;0;5583.33;0.103;1;39
1068006;2011-12-01;2000-09-01;2013-09-01;19750.0;pagamento de dividas;36;0.1065;643.33;135;722;0;0;3750.0;0.1716;1;21
1068075;2011-12-01;2005-10-01;2013-01-01;10000.0;pagamento de dividas;36;0.0991;322.25;74;712;0;0;2600.0;0.1239;0;13
1065642;2011-12-01;2001-02-01;2013-12-01;13650.0;pagamento de dividas;36;0.1242;456.12;130;677;0;0;5500.0;0.0829;0;24
1068179;2011-12-01;1988-12-01;2014-06-01;11800.0;pagamento de dividas;60;0.1991;312.04;276;687;0;0;4333.33;0.072;1;30
1068158;2011-12-01;1999-02-01;2015-01-01;18000.0;pagamento de dividas;36;0.079;563.23;154;722;0;0;4747.0;0.1186;0;37
1068180;2011-12-01;2004-11-01;2012-02-01;2500.0;pagamento de dividas;36;0.1427;85.78;85;672;0;0;4125.0;0.0208;0;2
1065673;2011-12-01;1991-12-01;2013-08-01;21000.0;cartao de credito;60;0.203;559.89;240;672;0;0;5833.33;0.096;0;20
1068159;2011-12-01;2000-08-01;2015-01-01;35000.0;pagamento de dividas;36;0.089;1111.37;136;742;0;0;10416.67;0.1067;0;37
1068165;2011-12-01;2004-10-01;2013-12-01;10000.0;cartao de credito;36;0.0751;311.11;86;747;0;0;2750.0;0.1131;0;24
1059689;2011-12-01;2004-08-01;2015-01-01;7000.0;cartao de credito;36;0.1269;234.82;88;677;0;0;2500.0;0.0939;0;37
1066215;2011-12-01;1995-06-01;2012-08-01;24000.0;reforma residencial;36;0.1596;843.3;198;717;0;0;7500.0;0.1124;1;8
1063270;2011-12-01;2005-02-01;2014-06-01;10625.0;despesas medicas;36;0.0751;330.56;82;732;0;0;1916.67;0.1725;0;30
1067931;2011-12-01;2005-11-01;2013-01-01;5000.0;pagamento de dividas;36;0.1465;172.48;73;672;0;0;2000.0;0.0862;0;13
1067922;2011-12-01;1998-09-01;2015-01-01;8850.0;cartao de credito;36;0.0662;271.73;159;737;0;0;5166.67;0.0526;0;37
1067919;2011-12-01;2000-11-01;2012-12-01;6375.0;pagamento de dividas;36;0.0751;198.34;133;732;0;0;3666.67;0.0541;0;12
1068106;2011-12-01;2007-05-01;2014-03-01;6000.0;cartao de credito;36;0.1171;198.46;55;682;1;0;7500.0;0.0265;0;27
1068111;2011-12-01;1991-01-01;2013-11-01;11100.0;cartao de credito;36;0.0662;340.82;251;757;0;0;3416.67;0.0998;1;23
1067655;2011-12-01;2000-04-01;2014-10-01;10000.0;pagamento de dividas;60;0.1269;225.95;140;737;0;0;4666.67;0.0484;0;34
1060662;2011-12-01;2000-06-01;2015-01-01;6200.0;pequeno negocio;36;0.0603;188.71;138;772;0;0;2208.33;0.0855;0;37
1061304;2011-12-01;2006-08-01;2014-05-01;15000.0;pagamento de dividas;36;0.1864;547.12;64;662;0;0;4500.0;0.1216;0;29
1068095;2011-12-01;2002-12-01;2015-01-01;4200.0;outros;36;0.1171;138.92;108;682;0;0;4416.67;0.0315;0;37
1067182;2011-12-01;2005-02-01;2012-04-01;14000.0;pagamento de dividas;36;0.1427;480.33;82;682;0;0;4400.0;0.1092;0;4
822464;2011-12-01;1993-06-01;2013-09-01;8875.0;pagamento de dividas;36;0.0751;276.11;222;742;0;0;3166.67;0.0872;0;21
1063526;2011-12-01;1997-05-01;2015-01-01;13500.0;pagamento de dividas;36;0.0991;435.04;175;747;0;0;3166.67;0.1374;0;37
1068091;2011-12-01;2006-06-01;2014-05-01;12000.0;pagamento de dividas;36;0.0991;386.7;66;727;0;0;3500.0;0.1105;1;29
1068090;2011-12-01;2004-02-01;2014-05-01;16000.0;pagamento de dividas;60;0.1991;423.11;94;667;0;0;4583.33;0.0923;0;29
1068082;2011-12-01;1990-12-01;2013-08-01;21600.0;pagamento de dividas;60;0.1942;565.32;252;677;1;0;5000.0;0.1131;0;20
1068078;2011-12-01;2000-03-01;2014-07-01;6000.0;reforma residencial;36;0.1065;195.44;141;692;2;0;7250.0;0.027;0;31
1057633;2011-12-01;2004-03-01;2015-09-01;8450.0;pagamento de dividas;60;0.1677;208.97;93;692;0;0;2083.33;0.1003;0;45
1046204;2011-12-01;1995-02-01;2015-02-01;20000.0;cartao de credito;60;0.1349;460.1;202;717;0;0;6833.33;0.0673;0;38
1067794;2011-12-01;2001-07-01;2013-07-01;10000.0;pagamento de dividas;36;0.1171;330.76;125;697;0;0;5000.0;0.0662;1;19
1067816;2011-12-01;2002-04-01;2014-03-01;12000.0;cartao de credito;36;0.1629;423.61;116;687;0;0;6666.67;0.0635;0;27
1068018;2011-12-01;2001-12-01;2013-10-01;13475.0;cartao de credito;60;0.1349;309.99;120;732;0;0;2083.33;0.1488;1;22
1052996;2011-12-01;2006-09-01;2015-02-01;7200.0;compra grande valor;36;0.1242;240.59;63;687;0;0;4000.0;0.0601;0;38
1067818;2011-12-01;1999-05-01;2012-08-01;5600.0;pagamento de dividas;36;0.1465;193.17;151;677;1;0;7083.33;0.0273;1;8
1064842;2011-12-01;1998-08-01;2013-12-01;12000.0;pagamento de dividas;36;0.1427;411.71;160;682;0;0;4750.0;0.0867;0;24
1067109;2011-12-01;2005-10-01;2013-05-01;8500.0;cartao de credito;36;0.0603;258.71;74;762;0;0;2083.33;0.1242;0;17
1067971;2011-12-01;2005-12-01;2015-01-01;8000.0;cartao de credito;36;0.0991;257.8;72;712;0;0;2833.33;0.091;0;37
1057518;2011-12-01;2004-05-01;2015-01-01;8000.0;cartao de credito;36;0.1242;267.33;91;692;0;0;3333.33;0.0802;0;37
1067473;2011-12-01;2001-10-01;2015-11-01;16000.0;pagamento de dividas;60;0.1527;382.92;122;737;0;0;3554.7;0.1077;0;47
1062177;2011-12-01;1983-06-01;2013-06-01;15000.0;compra de imovel;36;0.1727;536.81;342;672;1;1;3700.0;0.1451;0;18
1067447;2011-12-01;1995-02-01;2014-07-01;10000.0;pagamento de dividas;36;0.0991;322.25;202;732;0;0;2500.0;0.1289;0;31
1059412;2011-12-01;1994-08-01;2013-12-01;10000.0;cartao de credito;36;0.0662;307.04;208;742;0;0;5833.33;0.0526;0;24
1062608;2011-12-01;2006-09-01;2012-08-01;8000.0;compra de veiculo;36;0.1465;275.96;63;677;0;0;2333.33;0.1183;0;8
1067664;2011-12-01;1998-09-01;2014-12-01;22000.0;pagamento de dividas;36;0.0991;708.95;159;742;0;0;4166.67;0.1701;0;36
1067441;2011-12-01;1986-03-01;2013-12-01;6000.0;compra de veiculo;36;0.1427;205.86;309;697;0;0;7900.0;0.0261;0;24
1067654;2011-12-01;1993-06-01;2016-03-01;16000.0;pagamento de dividas;60;0.0991;339.25;222;782;0;0;3333.33;0.1018;0;51
1067644;2011-12-01;1994-08-01;2013-12-01;2500.0;pagamento de dividas;36;0.0751;77.78;208;732;0;0;1000.0;0.0778;1;24
1062288;2011-12-01;1980-04-01;2014-09-01;13500.0;cartao de credito;36;0.0991;435.04;380;727;0;0;3000.0;0.145;0;33
1067434;2011-12-01;2004-07-01;2015-01-01;25000.0;pagamento de dividas;36;0.1242;835.39;89;712;1;0;18750.0;0.0446;0;37
1067419;2011-12-01;2004-10-01;2014-09-01;10000.0;pequeno negocio;36;0.1349;339.31;86;692;0;0;3825.0;0.0887;0;33
1067601;2011-12-01;2008-07-01;2015-01-01;2500.0;pagamento de dividas;36;0.1349;84.83;41;687;0;0;2266.67;0.0374;0;37
1067579;2011-12-01;1996-05-01;2015-01-01;7325.0;pagamento de dividas;36;0.1269;245.72;187;682;0;0;3500.0;0.0702;0;37
1067563;2011-12-01;2004-01-01;2012-10-01;4000.0;cartao de credito;36;0.1242;133.67;95;697;0;0;11250.0;0.0119;0;10
1067364;2011-12-01;1999-12-01;2014-03-01;10000.0;pequeno negocio;36;0.1349;339.31;144;692;1;0;5416.67;0.0626;1;27
1067152;2011-12-01;2004-09-01;2014-01-01;7750.0;pagamento de dividas;36;0.1727;277.36;87;667;0;0;2000.0;0.1387;1;25
1062471;2011-12-01;2002-11-01;2012-10-01;20000.0;pagamento de dividas;60;0.2089;539.84;109;667;0;0;5833.33;0.0925;1;10
1066842;2011-12-01;2002-08-01;2014-01-01;9600.0;pagamento de dividas;36;0.1242;320.79;112;687;0;0;5416.67;0.0592;0;25
1067126;2011-12-01;1990-12-01;2012-08-01;21000.0;pagamento de dividas;60;0.1171;464.07;252;737;0;0;5000.0;0.0928;1;8
1067326;2011-12-01;2006-09-01;2012-12-01;14000.0;cartao de credito;36;0.1065;456.03;63;702;0;0;2500.0;0.1824;0;12
1066789;2011-12-01;1999-05-01;2015-01-01;13350.0;pagamento de dividas;36;0.1242;446.1;151;707;0;0;3583.33;0.1245;0;37
1067324;2011-12-01;2001-08-01;2014-04-01;15000.0;pagamento de dividas;36;0.1677;533.08;124;667;0;0;3500.0;0.1523;1;28
1067102;2011-12-01;1991-03-01;2013-08-01;15000.0;pagamento de dividas;36;0.1727;536.81;249;667;0;0;6250.0;0.0859;1;20
1046969;2011-12-01;1997-11-01;2016-06-01;11000.0;pagamento de dividas;60;0.1349;253.06;169;722;0;0;10750.0;0.0235;0;54
1067084;2011-12-01;2002-12-01;2013-10-01;35000.0;pagamento de dividas;36;0.1065;1140.07;108;762;1;0;14000.0;0.0814;0;22
1067090;2011-12-01;1998-09-01;2015-01-01;9000.0;cartao de credito;36;0.1065;293.16;159;707;0;0;6166.67;0.0475;0;37
1060875;2011-12-01;1989-09-01;2016-05-01;22475.0;pagamento de dividas;60;0.1527;537.87;267;717;0;0;4333.33;0.1241;0;53
1067265;2011-12-01;1994-09-01;2014-05-01;16000.0;pagamento de dividas;36;0.1269;536.72;207;697;0;0;4875.0;0.1101;1;29
1067287;2011-12-01;1998-12-01;2015-01-01;13500.0;pagamento de dividas;36;0.1269;452.86;156;712;0;0;5916.67;0.0765;0;37
1067066;2011-12-01;1996-05-01;2015-01-01;24000.0;pagamento de dividas;36;0.1269;805.08;187;702;0;0;6250.0;0.1288;0;37
1067283;2011-12-01;2002-06-01;2015-01-01;12000.0;cartao de credito;36;0.1065;390.88;114;717;0;0;5000.0;0.0782;0;37
1067266;2011-12-01;2003-09-01;2016-02-01;8400.0;compra grande valor;60;0.1677;207.73;99;687;0;0;7333.0;0.0283;0;50
1066635;2011-12-01;2006-07-01;2012-01-01;28000.0;reforma residencial;60;0.1758;704.64;65;717;0;0;11666.67;0.0604;0;1
1067026;2011-12-01;1999-09-01;2014-09-01;14000.0;pagamento de dividas;36;0.0662;429.86;147;752;0;0;5500.0;0.0782;0;33
